url_id,content_entity_id,raw_url,normalized_url,target_country,language,locale_tag,page_type,template_file,source_file_or_model,discovery_sources,inventory_state,expected_indexability,in_sitemap,sitemap_lastmod,first_published,notes
U003135,service:pt:saude-da-mulher,https://www.myglobalhealth.online/portugal/ro/services/saude-da-mulher,https://www.myglobalhealth.online/portugal/ro/services/saude-da-mulher,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003136,service:pt:saude-do-homem,https://www.myglobalhealth.online/portugal/ro/services/saude-do-homem,https://www.myglobalhealth.online/portugal/ro/services/saude-do-homem,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003137,service:pt:saude-mental,https://www.myglobalhealth.online/portugal/ro/services/saude-mental,https://www.myglobalhealth.online/portugal/ro/services/saude-mental,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003138,service:pt:segunda-opiniao-medica,https://www.myglobalhealth.online/portugal/ro/services/segunda-opiniao-medica,https://www.myglobalhealth.online/portugal/ro/services/segunda-opiniao-medica,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003139,,https://www.myglobalhealth.online/portugal/ro/specialist-consultation,https://www.myglobalhealth.online/portugal/ro/specialist-consultation,Portugal,ro,ro-PT,consult,frontend/app/[country]/[lang]/consult/[serviceSlug]/page.tsx,,route,orphan_candidate,unknown,no,,,
U003140,,https://www.myglobalhealth.online/portugal/ro/tests,https://www.myglobalhealth.online/portugal/ro/tests,Portugal,ro,ro-PT,tests_index,frontend/app/[country]/[lang]/tests/page.tsx,,route,orphan_candidate,unknown,no,,,
U003141,,https://www.myglobalhealth.online/portugal/ro/tools/adhd-test,https://www.myglobalhealth.online/portugal/ro/tools/adhd-test,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003142,,https://www.myglobalhealth.online/portugal/ro/tools/blood-pressure-chart,https://www.myglobalhealth.online/portugal/ro/tools/blood-pressure-chart,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003143,,https://www.myglobalhealth.online/portugal/ro/tools/bmi-calculator,https://www.myglobalhealth.online/portugal/ro/tools/bmi-calculator,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003144,,https://www.myglobalhealth.online/portugal/ro/tools/calorie-calculator,https://www.myglobalhealth.online/portugal/ro/tools/calorie-calculator,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003145,,https://www.myglobalhealth.online/portugal/ro/tools/due-date-calculator,https://www.myglobalhealth.online/portugal/ro/tools/due-date-calculator,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003146,,https://www.myglobalhealth.online/portugal/ro/tools/osteoporosis-risk-checker,https://www.myglobalhealth.online/portugal/ro/tools/osteoporosis-risk-checker,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003147,,https://www.myglobalhealth.online/portugal/ro/tools/ovulation-calculator,https://www.myglobalhealth.online/portugal/ro/tools/ovulation-calculator,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003148,,https://www.myglobalhealth.online/portugal/ro/tools/sore-throat-checker,https://www.myglobalhealth.online/portugal/ro/tools/sore-throat-checker,Portugal,ro,ro-PT,tool,frontend/app/[country]/[lang]/tools/[slug]/page.tsx,,route|sitemap,canonical_candidate,index,yes,,,
U003149,,https://www.myglobalhealth.online/portugal/smoking-cessation-consultation,https://www.myglobalhealth.online/portugal/smoking-cessation-consultation,,,,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_source,redirect_source,redirect,no,,,redirect rule #540 -> /portugal/pt/services/deixar-de-fumar (permanent=True)
