query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
dabup,2,57,0,https://www.myglobalhealth.online/ireland/en/doctors/dr-emmanuel-dabup,Ireland,en,doctors,1.0,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/doctors/dr-emmanuel-dabup [56i/0c/p5] ;; https://www.myglobalhealth.online/ireland/cs/doctors/dr-emmanuel-dabup [1i/0c/p1]
medical certificate ireland,2,57,0,https://www.myglobalhealth.online/ireland/sick-leave,Ireland,,market_home,35.6,wrong_locale,Ireland,es,https://www.myglobalhealth.online/ireland/sick-leave [37i/0c/p60] ;; https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [20i/0c/p36]
exame medico carta condução,2,56,0,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,Portugal,pt,services,37.8,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [39i/0c/p50] ;; https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [17i/0c/p38]
praktický lékař online,3,55,0,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,Czechia,cs,gp-consultation-online,12.7,no,Czechia,cs,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online [52i/0c/p13] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [2i/0c/p46] ;; https://www.myglobalhealth.online/czechia/cs [1i/0c/p20]
online doctor,4,54,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,17.7,cross_market+wrong_locale,Portugal|Romania|Spain,en|es|pt|ro,https://www.myglobalhealth.online/spain/es [46i/0c/p30] ;; https://www.myglobalhealth.online/romania/en [3i/0c/p18] ;; https://www.myglobalhealth.online/romania/ro [3i/0c/p20] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p65]
clinic global health,6,54,0,https://www.myglobalhealth.online/brazil/pt/faq,Brazil,pt,faq,3.0,wrong_locale,Brazil,en|pt,https://www.myglobalhealth.online/brazil/pt/faq [26i/0c/p10] ;; https://www.myglobalhealth.online [21i/0c/p8] ;; https://www.myglobalhealth.online/brazil/en/contact [3i/0c/p5] ;; https://www.myglobalhealth.online/brazil/pt/about [2i/0c/p10] ;; https://www.myglobalhealth.online/brazil/en/about [1i/0c/p10] ;; https://www.myglobalhealth.online/brazil/pt [1i/0c/p3]
atestado medico carta condução,2,53,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,37.6,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [28i/0c/p38] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [25i/0c/p62]
consulta online saúde masculina,2,52,0,https://www.myglobalhealth.online/brazil/de/services/saude-do-homem-online,Brazil,de,services,19.5,wrong_locale,Brazil,de|pt,https://www.myglobalhealth.online/brazil/de/services/saude-do-homem-online [32i/0c/p19] ;; https://www.myglobalhealth.online/brazil/pt/services/saude-do-homem-online [20i/0c/p40]
atestado para carta de condução,2,52,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,38.8,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [30i/0c/p39] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [22i/0c/p66]
calculator necesar caloric,2,51,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,10.4,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [44i/0c/p10] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [7i/0c/p20]
