date,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-07-21,https://www.myglobalhealth.online/brazil/pt/services/consulta-clinica-online,bra,DESKTOP,web,0,2,0,46.5,2026-07-21|https://www.myglobalhealth.online/brazil/pt/services/consulta-clinica-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/ro/gp-consultation-online,bra,DESKTOP,web,0,1,0,2,2026-07-21|https://www.myglobalhealth.online/brazil/ro/gp-consultation-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/cs/home-cz,cze,MOBILE,web,0,2,0,2,2026-07-21|https://www.myglobalhealth.online/cs/home-cz|cze|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/cs/ireland-partner-clinic/body-adjustment-clinic,irl,MOBILE,web,0,4,0,5,2026-07-21|https://www.myglobalhealth.online/cs/ireland-partner-clinic/body-adjustment-clinic|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia-doctors/mudr-libor-hlavaty,cze,MOBILE,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/czechia-doctors/mudr-libor-hlavaty|cze|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,cze,DESKTOP,web,0,2,0,8,2026-07-21|https://www.myglobalhealth.online/czechia/cs/gp-consultation-online|cze|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/de/services/detsky-lekar-online,deu,MOBILE,web,0,1,0,10,2026-07-21|https://www.myglobalhealth.online/czechia/de/services/detsky-lekar-online|deu|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/de/services/doporuceni-a-vysetreni,nld,DESKTOP,web,0,1,0,12,2026-07-21|https://www.myglobalhealth.online/czechia/de/services/doporuceni-a-vysetreni|nld|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,cze,DESKTOP,web,0,2,0,45,2026-07-21|https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha|cze|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,cze,MOBILE,web,0,2,0,30,2026-07-21|https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha|cze|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/es/blog/diabetes-ticha-nemoc,cze,MOBILE,web,0,1,0,39,2026-07-21|https://www.myglobalhealth.online/czechia/es/blog/diabetes-ticha-nemoc|cze|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/pt/services/cestovni-medicina-praha,esp,DESKTOP,web,0,1,0,37,2026-07-21|https://www.myglobalhealth.online/czechia/pt/services/cestovni-medicina-praha|esp|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
