date,search_type,clicks,impressions,ctr,avg_position,data_state,source_timezone,refresh_id,data_quality,source
2025-05-15,web,1,164,0.006097560975609756,71.98170731707317,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-16,web,2,132,0.015151515151515152,67.08333333333333,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-17,web,0,143,0,72.97902097902097,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-18,web,0,165,0,72.23636363636363,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-19,web,4,164,0.024390243902439025,64.75,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-20,web,7,186,0.03763440860215054,68.82795698924731,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-21,web,7,194,0.03608247422680412,70.64948453608247,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-22,web,1,151,0.006622516556291391,68.60264900662251,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-23,web,4,198,0.020202020202020204,73.62121212121212,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-24,web,1,192,0.005208333333333333,77.359375,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-25,web,0,228,0,75.39473684210526,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-26,web,2,319,0.006269592476489028,74.50156739811912,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-27,web,0,202,0,73.39108910891089,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-28,web,3,237,0.012658227848101266,70.51476793248945,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-29,web,1,193,0.0051813471502590676,76.29015544041451,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-30,web,1,261,0.0038314176245210726,72.71647509578544,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-05-31,web,1,263,0.0038022813688212928,72.73003802281369,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-01,web,0,284,0,78.96830985915493,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-02,web,2,261,0.007662835249042145,73.95019157088123,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-03,web,2,183,0.01092896174863388,74.66120218579235,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-04,web,2,268,0.007462686567164179,76.56716417910448,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-05,web,1,212,0.0047169811320754715,68.83018867924528,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-06,web,3,298,0.010067114093959731,77.34563758389261,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-07,web,0,289,0,79.44636678200692,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-08,web,0,203,0,75.29556650246306,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-09,web,2,254,0.007874015748031496,76.3267716535433,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-10,web,1,314,0.0031847133757961785,71.89808917197452,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-11,web,1,201,0.004975124378109453,71.72139303482587,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-12,web,1,163,0.006134969325153374,71.8036809815951,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-13,web,2,183,0.01092896174863388,74.05464480874316,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-14,web,1,207,0.004830917874396135,74.67632850241546,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2025-06-15,web,4,184,0.021739130434782608,79.8695652173913,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
