date,query,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-09-05,atestado medico preço,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,23,2026-09-05|atestado medico preço|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,2,0,7,2026-09-05|atestado médico|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico carta de condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,2,0,40.5,2026-09-05|atestado médico carta de condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico carta de condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,2,0,65,2026-09-05|atestado médico carta de condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico eletrónico,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,2,0,43.5,2026-09-05|atestado médico eletrónico|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico eletrónico imt,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,32,2026-09-05|atestado médico eletrónico imt|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico para carta de condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,39,2026-09-05|atestado médico para carta de condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico para carta de condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,58,2026-09-05|atestado médico para carta de condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico portugal,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,51,2026-09-05|atestado médico portugal|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado médico portugal,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,31,2026-09-05|atestado médico portugal|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado para carta de condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,3,0,37.333333333333336,2026-09-05|atestado para carta de condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado para carta de condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,3,0,65.33333333333333,2026-09-05|atestado para carta de condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestados carta de condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,43,2026-09-05|atestados carta de condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestados carta de condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,73,2026-09-05|atestados carta de condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestados medicos carta condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,40,2026-09-05|atestados medicos carta condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestados medicos carta condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,70,2026-09-05|atestados medicos carta condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,attention deficit test,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,63,2026-09-05|attention deficit test|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,averbamento grupo 2,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,41,2026-09-05|averbamento grupo 2|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,b mi calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,irl,DESKTOP,web,0,1,0,64,2026-09-05|b mi calculator|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|irl|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,baixa médica quanto se recebe,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,prt,DESKTOP,web,0,1,0,36,2026-09-05|baixa médica quanto se recebe|https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,baixa por cirurgia de ambulatório quanto se recebe 2026,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,prt,MOBILE,web,0,1,0,6,2026-09-05|baixa por cirurgia de ambulatório quanto se recebe 2026|https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular|prt|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,biological testing,https://www.myglobalhealth.online/ireland/en/lab-tests/gut-microbiome-test,irl,DESKTOP,web,0,1,0,47,2026-09-05|biological testing|https://www.myglobalhealth.online/ireland/en/lab-tests/gut-microbiome-test|irl|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,blutdruck 180/120,https://www.myglobalhealth.online/spain/de/blog/tension-alta-sintomas-cuando-urgencias,deu,DESKTOP,web,0,1,0,48,2026-09-05|blutdruck 180/120|https://www.myglobalhealth.online/spain/de/blog/tension-alta-sintomas-cuando-urgencias|deu|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bm i calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,irl,DESKTOP,web,0,2,0,59.5,2026-09-05|bm i calculator|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|irl|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi calculator ie,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,usa,DESKTOP,web,0,1,0,33,2026-09-05|bmi calculator ie|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|usa|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi hranice,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,26,2026-09-05|bmi hranice|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi ie,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,usa,DESKTOP,web,0,1,0,32,2026-09-05|bmi ie|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|usa|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi kalkulačka,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,2,0,28,2026-09-05|bmi kalkulačka|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi kalkulačka,https://www.myglobalhealth.online/ireland/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,14,2026-09-05|bmi kalkulačka|https://www.myglobalhealth.online/ireland/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi kalkulačka pro teenagery,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,26,2026-09-05|bmi kalkulačka pro teenagery|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi kalkulačka žena,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,39,2026-09-05|bmi kalkulačka žena|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi muži,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,43,2026-09-05|bmi muži|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi tabulka,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,41,2026-09-05|bmi tabulka|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi test,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,29,2026-09-05|bmi test|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi výpočet,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,32,2026-09-05|bmi výpočet|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi výpočet vzorec,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,39,2026-09-05|bmi výpočet vzorec|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmi zdraví,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cze,DESKTOP,web,0,1,0,42,2026-09-05|bmi zdraví|https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,bmii calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,irl,DESKTOP,web,0,2,0,61,2026-09-05|bmii calculator|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|irl|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,body index mass calculator,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,irl,DESKTOP,web,0,1,0,55,2026-09-05|body index mass calculator|https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator|irl|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,brasilia,https://www.myglobalhealth.online/brazil/en,arg,DESKTOP,web,0,1,0,9,2026-09-05|brasilia|https://www.myglobalhealth.online/brazil/en|arg|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,calcul calorii,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,rou,MOBILE,web,0,1,0,4,2026-09-05|calcul calorii|https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator|rou|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,calcul calorii alimente,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,rou,DESKTOP,web,0,1,0,37,2026-09-05|calcul calorii alimente|https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator|rou|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,calcul calorii alimente,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,rou,MOBILE,web,0,1,0,43,2026-09-05|calcul calorii alimente|https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator|rou|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,calcul deficit caloric,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,rou,DESKTOP,web,0,3,0,28.666666666666668,2026-09-05|calcul deficit caloric|https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator|rou|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,calcul deficit caloric,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,rou,MOBILE,web,0,1,0,17,2026-09-05|calcul deficit caloric|https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator|rou|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
