month_start,page,clicks,impressions,ctr,avg_position,period,truncated,refresh_id,source_timezone,source
2025-07-01,https://www.myglobalhealth.online/about-4,1,33,0.030303030303030304,12.272727272727273,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/home-health-tests/male-hormone-test,1,465,0.002150537634408602,78.04301075268818,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/home-health-tests/nutrition-and-lifestyle-home-dna-test,1,26,0.038461538461538464,34.73076923076923,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/return-and-refund-policy,1,15,0.06666666666666667,2.8666666666666667,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/service-page/consulta-de-neurolog%C3%ADa,1,4,0.25,8,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/service-page/same-day-delivery-dublin-1-2-4-6-and-8,1,3,0.3333333333333333,6.666666666666667,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/blog,0,1,0,66,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/book-online,0,12,0,5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/careers,0,3,0,5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/category/all-products,0,9,0,3.6666666666666665,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/cs/book-online,0,2,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/es,0,25,0,26.68,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/es/services-1-1/manicure,0,1,0,45,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/general-5,0,1,0,3,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/home-health-tests,0,40,0,36.975,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/home-health-tests/female-hormone-test,0,7,0,81.71428571428571,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
