page,country,clicks,impressions,ctr,avg_position,truncated,refresh_id,source_timezone,source
https://www.myglobalhealth.online/,ind,1,156,0.00641025641025641,29.608974358974358,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,isr,1,16,0.0625,10.3125,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,ita,1,18,0.05555555555555555,26.11111111111111,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,mdg,1,4,0.25,11.5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,nga,1,43,0.023255813953488372,15,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,usa,1,440,0.0022727272727272726,29.818181818181817,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,ven,1,10,0.1,13.7,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/about,esp,1,9,0.1111111111111111,9.88888888888889,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/about,nzl,1,2,0.5,17,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/about,prt,1,5,0.2,20.6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/careers,lso,1,1,1,15,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/careers,phl,1,7,0.14285714285714285,9.285714285714286,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/category/all-products,gbr,1,5,0.2,75.2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/cs/ireland-doctors/dr-abdelrahman-mustafa,irl,1,2,0.5,5.5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/cs/ireland-doctors/dr-ahmed-maklad,cze,1,12,0.08333333333333333,5.25,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/cs/ireland-doctors/dr-tiago-miguel-figueira,aut,1,1,1,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/cs/online-prescriptions/hair-loss-prescription,cze,1,1,1,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/czechia-doctors/mudr-ahmed-maklad,can,1,17,0.058823529411764705,8.058823529411764,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/czechia-doctors/mudr-ahmed-maklad,gbr,1,15,0.06666666666666667,10.933333333333334,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
