observed_at,source_domain,source_url,target_url,anchor,rel_attribute,link_status,first_seen,last_seen,provider,provider_metric_name,provider_metric_value,target_country,relevance,opportunity,evidence,resolved_target_url,resolved_http_status,rel_attributes_raw
2026-09-15,wix.to,https://wix.to/fwnmna6,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-ortopedie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/dureri-musculo-scheletice?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/4xsu3JR,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-psihologie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/sanatate-mintala-online?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/HngZ4yu,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-urologie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/N1OMoP9,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-venerologie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/n4xNaAp,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-oncologie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/l1SttLo,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-neurologie?utm_medium=page_links,,dofollow,broken,2026-07-01,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/consultatie-neurologie?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/liOC62L,https://www.myglobalhealth.online/booking-calendar/ie-aesthetic-medicine-online-consultat?utm_medium=page_links,,dofollow,broken,2026-07-01,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/services/aesthetic-medicine-consultation?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/djUT3ps,https://www.myglobalhealth.online/booking-calendar/consulta-ortop%25C3%25A9dica?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/5EAukal,https://www.myglobalhealth.online/booking-calendar/pt-medicare-consulta-ortop%25C3%25A9dica?location=31db2656-1bd1-4106-b154-7836f55b1e20&utm_medium=page_links,,dofollow,live,2025-11-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/book?location=31db2656-1bd1-4106-b154-7836f55b1e20&utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/NPj6cfm,https://www.myglobalhealth.online/booking-calendar/cz-konzultace-v-oblasti-reproduk%C4%8Dn%C3%AD-me?utm_medium=page_links,,dofollow,live,2026-06-29,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,czechia,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/czechia/cs/book?utm_medium=page_links,200,
