url,locale,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,inspection_verdict,coverage_state,last_crawl,google_canonical,user_canonical,page_fetch_state,notes
https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,cs,tool,yes,0,618,0,34.62459546925567,PASS,Odesláno a indexováno,2026-08-25T19:39:19Z,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,cs,tool,yes,3,899,0.0033370411568409346,12.025583982202447,PASS,Odesláno a indexováno,2026-08-07T23:43:30Z,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,cs,tool,yes,0,366,0,38.18852459016394,PASS,Odesláno a indexováno,2026-08-30T15:21:42Z,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/osteoporosis-risk-checker,cs,tool,yes,0,4,0,7.5,PASS,Odesláno a indexováno,2026-08-10T08:16:57Z,https://www.myglobalhealth.online/czechia/cs/tools/osteoporosis-risk-checker,https://www.myglobalhealth.online/czechia/cs/tools/osteoporosis-risk-checker,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,cs,tool,yes,3,266,0.011278195488721804,35.81954887218045,PASS,Odesláno a indexováno,2026-08-05T21:50:17Z,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/de,de,home,yes,2,43,0.046511627906976744,10.511627906976743,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/about,de,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/blog,de,blog-hub,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/blog/arzt-online-tschechien-was-moeglich-ist,de,blog-post,yes,0,7,0,5.285714285714286,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/blog/diabetes-die-stille-krankheit-2,de,blog-post,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/blog/krankengeld-tschechien-berechnung-2026-arbeitgeber-cssz,de,blog-post,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/blog/neschopenka-krankschreibung-in-tschechien,de,blog-post,yes,2,73,0.0273972602739726,4.178082191780822,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/book,de,standalone,yes,0,2,0,8.5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/careers,de,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/contact,de,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors,de,doctor-directory,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors/dr-ahmed-maklad,de,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors/khoiamul-islam,de,doctor-profile,yes,0,1,0,10,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors/mudr-romana-pavlu,de,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors/mudr-vojtech-cerny,de,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/doctors/mudr-yasmin-holz,de,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/gp-consultation-online,de,gp-hub,yes,1,14,0.07142857142857142,7.214285714285714,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/legal,de,legal-hub,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/legal/complaints-procedure,de,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/legal/privacy-policy,de,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/legal/refund-policy,de,legal-detail,yes,0,6,0,6.5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/legal/terms-of-service,de,legal-detail,yes,0,2,0,8,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/press,de,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/pricing,de,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/bolesti-pohyboveho-aparatu,de,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/cestovni-medicina-praha,de,service,yes,0,7,0,37.57142857142857,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/chronicka-onemocneni,de,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/detsky-lekar-online,de,service,yes,0,7,0,8.142857142857142,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/doporuceni-a-vysetreni,de,service,yes,0,9,0,9.444444444444445,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/druhy-nazor-praha,de,service,yes,0,3,0,96.33333333333333,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/dusevni-zdravi-online,de,service,yes,0,2,0,9,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/kontrola-vahy-online,de,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/kozni-konzultace-praha,de,service,yes,0,3,0,7.333333333333333,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/lekar-online-praha,de,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/muzske-zdravi-online,de,service,yes,0,2,0,9,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/neschopenka-online,de,service,yes,0,11,0,5.363636363636363,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/obnoveni-lecby,de,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/vypadavani-vlasu-online,de,service,yes,0,8,0,25,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/services/zenske-zdravi-online,de,service,yes,0,5,0,19,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/adhd-test,de,tool,yes,0,1,0,1,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/blood-pressure-chart,de,tool,yes,0,8,0,9.75,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/bmi-calculator,de,tool,yes,0,2,0,6.5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/calorie-calculator,de,tool,yes,0,3,0,5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/due-date-calculator,de,tool,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/osteoporosis-risk-checker,de,tool,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/de/tools/ovulation-calculator,de,tool,yes,0,1,0,65,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en,en,home,yes,8,193,0.04145077720207254,11.487046632124352,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/about,en,standalone,yes,0,29,0,5.931034482758621,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/blog,en,blog-hub,yes,0,8,0,32.625,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/blog/czech-sick-pay-calculation-2026-employer-cssz,en,blog-post,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/blog/diabetes-the-silent-disease-3,en,blog-post,yes,0,4,0,5.5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,en,blog-post,yes,3,506,0.005928853754940711,5.264822134387352,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,en,blog-post,yes,1,16,0.0625,11.3125,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/book,en,standalone,yes,0,4,0,11.75,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/careers,en,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/contact,en,standalone,yes,1,16,0.0625,10.5625,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors,en,doctor-directory,yes,0,14,0,9.571428571428571,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors/dr-ahmed-maklad,en,doctor-profile,yes,0,8,0,9.125,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors/khoiamul-islam,en,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors/mudr-romana-pavlu,en,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors/mudr-vojtech-cerny,en,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/doctors/mudr-yasmin-holz,en,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/faq,en,standalone,yes,0,11,0,9.727272727272727,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/gp-consultation-online,en,gp-hub,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal,en,legal-hub,yes,1,11,0.09090909090909091,23.90909090909091,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/complaints-procedure,en,legal-detail,yes,0,19,0,9.578947368421053,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/cookie-policy,en,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/medical-disclaimer,en,legal-detail,yes,0,9,0,9,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/privacy-policy,en,legal-detail,yes,0,4,0,52.75,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/refund-policy,en,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/legal/terms-of-service,en,legal-detail,yes,0,25,0,10,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/press,en,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/pricing,en,standalone,yes,0,7,0,11,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/bolesti-pohyboveho-aparatu,en,service,yes,0,2,0,4,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/cestovni-medicina-praha,en,service,yes,0,6,0,5.833333333333333,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/chronicka-onemocneni,en,service,yes,0,4,0,4.75,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/detsky-lekar-online,en,service,yes,0,14,0,6.785714285714286,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/doporuceni-a-vysetreni,en,service,yes,0,11,0,10.636363636363637,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/druhy-nazor-praha,en,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/dusevni-zdravi-online,en,service,yes,0,50,0,7.24,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/kontrola-vahy-online,en,service,yes,0,2,0,3,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/kozni-konzultace-praha,en,service,yes,0,14,0,8.571428571428571,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/lekar-online-praha,en,service,yes,13,124,0.10483870967741936,5.435483870967742,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/muzske-zdravi-online,en,service,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/neschopenka-online,en,service,yes,2,45,0.044444444444444446,4.5777777777777775,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/obnoveni-lecby,en,service,yes,0,18,0,7.888888888888889,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/services/vypadavani-vlasu-online,en,service,yes,0,1,0,3,,,,,,,URL Inspection not sampled
