seed,source,used_fallback,keyword,search_volume,keyword_difficulty,cpc,competition,intent,trend_json
cestovní medicína Praha,related,false,očkování břišní tyfus cena,110,0,0.24,0.13,transactional,"[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":50},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":170},{""year"":2025,""month"":12,""searchVolume"":140},{""year"":2025,""month"":11,""searchVolume"":210},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":110}]"
cestovní medicína Praha,related,false,cestovní medicína praha,90,6,0.55,0.52,informational,"[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":90},{""year"":2025,""month"":11,""searchVolume"":110},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":90}]"
cestovní medicína Praha,related,false,očkování břišní tyfus praha,90,22,0.54,0.48,informational,"[{""year"":2026,""month"":7,""searchVolume"":40},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":30},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":110},{""year"":2026,""month"":1,""searchVolume"":140},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":170},{""year"":2025,""month"":10,""searchVolume"":210},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":70}]"
cestovní medicína Praha,related,false,cestovní medicína brno,70,11,0.71,0.4,navigational,"[{""year"":2026,""month"":7,""searchVolume"":40},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":50},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":170},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":90},{""year"":2025,""month"":8,""searchVolume"":70}]"
cestovní medicína Praha,related,false,centrum cestovní medicíny havelská,70,0,0.54,0.21,navigational,"[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":170},{""year"":2025,""month"":10,""searchVolume"":170},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":40}]"
cestovní medicína Praha,related,false,očkování břišní tyfus jak dlouho před cestou,70,0,,0.06,informational,"[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":20},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":40},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":110}]"
cestovní medicína Praha,related,false,cestovní očkování praha,70,37,0.46,0.51,informational,"[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":110},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":90},{""year"":2025,""month"":8,""searchVolume"":40}]"
cestovní medicína Praha,related,false,avenier objednání,70,12,0.14,0.11,transactional,"[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":70},{""year"":2026,""month"":5,""searchVolume"":70},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":50},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":90},{""year"":2025,""month"":11,""searchVolume"":70},{""year"":2025,""month"":10,""searchVolume"":70},{""year"":2025,""month"":9,""searchVolume"":50},{""year"":2025,""month"":8,""searchVolume"":30}]"
cestovní medicína Praha,related,false,horečka dengue očkování cena,70,0,0.38,0.04,informational,"[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":20},{""year"":2026,""month"":5,""searchVolume"":30},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":70},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":90},{""year"":2025,""month"":8,""searchVolume"":140}]"
cestovní medicína Praha,related,false,očkování klíšťová encefalitida cena vzp,70,3,,0,commercial,"[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":70},{""year"":2026,""month"":5,""searchVolume"":70},{""year"":2026,""month"":4,""searchVolume"":90},{""year"":2026,""month"":3,""searchVolume"":140},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":40},{""year"":2025,""month"":12,""searchVolume"":30},{""year"":2025,""month"":11,""searchVolume"":50},{""year"":2025,""month"":10,""searchVolume"":50},{""year"":2025,""month"":9,""searchVolume"":40},{""year"":2025,""month"":8,""searchVolume"":40}]"
