"domain","url","title","ranking_keyword_count","best_position","estimated_traffic","keyword_search_volume_sum","top_keywords","source","collected_at"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/setubal/pt/","Hospital da Luz Setúbal","2","1","6019.2","19800","hospital da luz setubal | hospital luz setubal","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/saude-familia/doencas/proteina-c-reativa-que-que-significa","Proteína C Reativa: O Que É e O Que Significa.","5","2","5958.4","19600","pcr proteina c reativa | proteina c reativa | pcr proteína c reativa | proteína c reativa | proteína c reativa pcr","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/hemorroidas-precisa-saber","Hemorroidas","2","2","5602.8","28800","hemorroidas | hemorroida externa","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/bullying-aprenda-atuar-perante-este-comportamento","Bullying: aprenda a atuar perante este comportamento","1","5","5502.4","18100","bullying bully","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/piolhos-aprenda-combate-los","Piolhos: aprenda a combatê-los","1","2","5502.4","18100","piolhos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/vitamina-b12","O que é a Vitamina B12 e para que serve","1","2","5502.4","18100","vitamina b12","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/oeiras/pt/especialidades","Especialidades - Oeiras","1","1","5502.4","18100","hospital da luz em oeiras","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/oeiras/pt/","Hospital da Luz Oeiras","1","1","5502.4","18100","hospital da luz oeiras","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/torres-de-lisboa/pt/","Hospital da Luz Torres de Lisboa","1","1","5502.4","18100","hospital da luz torres de lisboa","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/aveiro/pt/","Hospital da Luz Aveiro","2","3","5282.2","22000","hospital da luz aveiro | hospital aveiro","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/sistema-cardiovascular-como-atua","Sistema cardiovascular: como funciona?","2","5","5059.38","44400","coracao | coração","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/furunculo","Furúnculo: o que é, sintomas e tratamento","2","2","4924.8","16200","furunculo | furúnculos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"dronline.pt","https://dronline.pt/","Tem de ir ao médico? Vá ao Dr.Online!","110","1","4643.99","156010","dr online | medico | dronline | medicos online | consulta | dr online portugal | doutor online | dre | consulta | medico online | médico online | consulta online | dronline.pt | médico na net | médico online","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/tudo-o-que-precisa-de-saber-sobre-o-fungo-candida-auris","Tudo o que precisa de saber sobre o fungo Candida auris","1","2","4499.2","14800","c auris","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/cortisol-conhece-hormona-que-gere-o-stress","Cortisol: conhece a hormona que gere o stress?","1","2","4499.2","14800","cortisol","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/figado-gordo","Fígado gordo: o que é, sintomas e tratamento","1","2","4499.2","14800","fígado gordo","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/gastroenterite","Gastroenterite: o que é, sintomas e tratamento","1","2","4499.2","14800","gastroenterite","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/impetigo","Impetigo: o que é, sintomas e tratamento","1","2","4499.2","14800","impetigo","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/melatonina-para-que-serve-e-em-que-casos-tomar","Melatonina: para que serve e em que casos tomar","1","1","4499.2","14800","melatonina","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/o-que-e-ressonancia-magnetica","O que é a Ressonância Magnética?","1","4","4499.2","14800","ressonâncias magnéticas","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/norovirus-e-gastroenterite-aguda","Norovírus e gastroenterite aguda - Lisboa","1","2","4499.2","14800","norovirus","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/mais-medis/bem-estar-e-desporto/beneficios-pilates/","Pilates Benefícios: Saúde, Bem-Estar e Postura","1","8","4390.2","27100","pilates","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/hospitais-clinicas/clinica-lusiadas-oriente","Clínica Lusíadas Oriente","2","1","4347.2","14300","clínica lusíadas oriente | lusiadas oriente","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/picadas-de-percevejo-como-prevenir-e-tratar","Picadas de percevejo: como prevenir e tratar","2","5","4320.12","44400","percevejo | percevejos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/vilafrancaxira/pt/","Hospital da Luz Clínica Vila Franca de Xira","2","2","4124.99","36200","hospital vila franca | hospital vila franca xira","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/saude-e-bem-estar/atencao-as-carracas","Atenção às carraças","2","2","4012.8","13200","carracas | carraça","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/porto/pt/","Hospital da Luz Clínica do Porto","2","1","4012.8","13200","hospital da luz clinica do porto | hospital da luz clínica do porto","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-viseu","Hospital CUF Viseu","1","1","3678.4","12100","cuf viseu","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
