"url","locale","resolved_locale","kind","service","bookability","reason","next_available_at","doctors","consultation_languages","price_cents","duration","registry_issue","source"
"https://www.myglobalhealth.online/spain/en/services/pediatria-online","en","EN","GENERAL","pediatria-online","BOOKABLE","","2026-09-13T12:26:00.000Z","Dra. María Silvina Irale Tunkiewicz","Dra. María Silvina Irale Tunkiewicz: Spanish","3900","15","","raw/api/services-pediatria-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/psicologo-online","en","EN","SPECIALIST","psicologo-online","BOOKABLE","","2026-09-14T12:59:00.000Z","Javier Villarte Betancor | Tomás Ruiz Palacios","Javier Villarte Betancor: Spanish | Tomás Ruiz Palacios: Spanish, Italian","12000","45","","raw/api/services-psicologo-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/psiquiatra-online","en","EN","SPECIALIST","psiquiatra-online","BOOKABLE","","2026-09-14T12:29:00.000Z","Dra. Mónica Fabiana Cornejo Román","Dra. Mónica Fabiana Cornejo Román: Spanish","15000","45","","raw/api/services-psiquiatra-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/renovacion-tratamiento-online","en","EN","GENERAL","renovacion-tratamiento-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","2900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-renovacion-tratamiento-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/salud-femenina-online","en","EN","GENERAL","salud-femenina-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4900","20","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-salud-femenina-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/salud-masculina-online","en","EN","GENERAL","salud-masculina-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4900","20","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-salud-masculina-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/salud-mental-online","en","EN","GENERAL","salud-mental-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","5900","20","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-salud-mental-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/segunda-opinion-medica","en","EN","GENERAL","segunda-opinion-medica","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4900","20","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-segunda-opinion-medica-EN.json"
"https://www.myglobalhealth.online/spain/es/services/caida-cabello-online","es","ES","GENERAL","caida-cabello-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-caida-cabello-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/cardiologo-online","es","ES","SPECIALIST","cardiologo-online","UNAVAILABLE","NO_OPEN_SLOT","","Dr. Fidel Ernesto Mesa Prado","Dr. Fidel Ernesto Mesa Prado: Spanish, English","7900","15","","raw/api/services-cardiologo-online-ES.json"
