timestamp,total_connections,active,idle,idle_in_transaction,longest_query_seconds,waiting_on_lock
2026-08-13 20:00:25.717509+00,11,1,10,0,2.9,0
2026-08-13 20:00:32.99532+00,11,1,10,0,0.2,0
2026-08-13 20:00:39.917847+00,11,1,10,0,0.3,0
2026-08-13 20:00:47.193465+00,11,1,10,0,2.0,0
2026-08-13 20:00:54.434416+00,11,1,10,0,1.1,0
2026-08-13 20:01:01.387415+00,11,1,10,0,0.1,0
2026-08-13 20:01:09.25645+00,11,2,9,0,0.6,0
2026-08-13 20:01:16.551499+00,11,1,10,0,0.0,0
2026-08-13 20:01:23.661743+00,11,1,10,0,0.0,0
2026-08-13 20:01:30.888401+00,11,1,10,0,0.4,0
2026-08-13 20:01:37.911338+00,11,1,10,0,0.4,0
2026-08-13 20:01:44.888859+00,11,1,10,0,0.2,0
2026-08-13 20:01:52.466343+00,11,1,10,0,0.5,0
2026-08-13 20:02:00.108628+00,11,1,10,0,0.3,0
2026-08-13 20:02:07.145509+00,11,1,10,0,1.6,0
2026-08-13 20:02:14.130556+00,11,1,10,0,0.4,0
2026-08-13 20:02:21.131965+00,11,1,10,0,0.5,0
2026-08-13 20:02:28.319422+00,11,1,10,0,0.2,0
2026-08-13 20:02:35.298695+00,11,1,10,0,1.2,0
2026-08-13 20:02:42.292933+00,11,1,10,0,0.1,0
2026-08-13 20:02:50.170562+00,11,1,10,0,0.3,0
2026-08-13 20:02:57.541629+00,11,1,10,0,0.1,0
2026-08-13 20:03:06.230964+00,11,1,10,0,0.8,0
2026-08-13 20:03:14.504718+00,11,1,10,0,1.5,0
2026-08-13 20:03:21.529143+00,11,1,10,0,0.1,0
2026-08-13 20:03:28.940907+00,11,1,10,0,0.2,0
2026-08-13 20:03:36.364512+00,11,1,10,0,0.5,0
2026-08-13 20:03:44.78631+00,11,1,10,0,0.0,0
2026-08-13 20:03:52.357705+00,11,1,10,0,1.0,0
2026-08-13 20:03:59.65002+00,11,1,10,0,0.3,0
2026-08-13 20:04:06.980318+00,11,1,9,1,0.8,0
2026-08-13 20:04:14.361932+00,11,1,10,0,0.5,0
2026-08-13 20:04:22.486679+00,11,1,10,0,0.3,0
2026-08-13 20:04:29.756921+00,11,1,10,0,1.2,0
2026-08-13 20:04:36.733727+00,11,1,10,0,1.4,0
2026-08-13 20:04:44.045246+00,11,2,8,1,0.4,0
2026-08-13 20:04:51.074079+00,11,1,10,0,0.7,0
2026-08-13 20:04:58.794516+00,11,1,10,0,1.6,0
2026-08-13 20:05:05.845075+00,11,1,10,0,0.1,0
2026-08-13 20:05:13.672492+00,11,1,10,0,0.0,0
2026-08-13 20:05:21.880646+00,11,1,10,0,0.5,0
2026-08-13 20:05:29.109633+00,11,1,10,0,0.4,0
2026-08-13 20:05:36.259981+00,11,1,10,0,0.2,0
2026-08-13 20:05:43.512309+00,11,1,9,1,0.2,0
2026-08-13 20:05:50.851727+00,11,1,10,0,1.1,0
2026-08-13 20:05:57.864307+00,11,1,10,0,0.4,0
2026-08-13 20:06:05.224224+00,11,1,10,0,1.6,0
2026-08-13 20:06:12.23099+00,11,1,10,0,0.3,0
2026-08-13 20:06:19.201607+00,11,1,10,0,0.8,0
2026-08-13 20:06:26.747764+00,11,1,10,0,3.2,0
2026-08-13 20:06:34.136127+00,11,1,10,0,1.1,0
2026-08-13 20:06:41.31073+00,11,1,9,1,0.3,0
2026-08-13 20:06:48.608445+00,11,1,10,0,0.3,0
2026-08-13 20:06:55.65351+00,11,1,10,0,0.2,0
2026-08-13 20:07:02.866387+00,11,1,10,0,0.0,0
2026-08-13 20:07:12.431582+00,11,1,10,0,0.1,0
2026-08-13 20:07:19.455307+00,11,1,10,0,0.2,0
2026-08-13 20:07:26.476032+00,11,1,10,0,0.5,0
2026-08-13 20:07:34.372691+00,11,1,10,0,0.3,0
2026-08-13 20:07:41.39767+00,11,1,10,0,0.0,0
2026-08-13 20:07:49.206413+00,11,1,10,0,0.2,0
2026-08-13 20:07:57.51105+00,11,1,10,0,2.4,0
2026-08-13 20:08:04.551187+00,11,2,9,0,0.6,0
2026-08-13 20:08:11.489513+00,11,1,10,0,0.2,0
2026-08-13 20:08:18.865141+00,11,1,10,0,0.1,0
2026-08-13 20:08:25.903316+00,11,1,10,0,0.5,0
2026-08-13 20:08:33.329699+00,11,1,10,0,0.8,0
2026-08-13 20:08:40.662972+00,11,1,10,0,0.7,0
2026-08-13 20:08:47.684553+00,11,1,10,0,0.4,0
2026-08-13 20:08:56.044675+00,11,1,10,0,1.2,0
2026-08-13 20:09:05.482876+00,11,1,9,1,0.8,0
2026-08-13 20:09:12.528373+00,11,1,10,0,0.1,0
2026-08-13 20:09:20.320026+00,11,3,8,0,1.0,0
2026-08-13 20:09:27.31308+00,11,1,10,0,0.1,0
2026-08-13 20:09:34.761925+00,11,1,10,0,0.1,0
2026-08-13 20:09:41.914005+00,11,1,9,1,0.1,0
2026-08-13 20:09:48.913111+00,11,1,10,0,0.1,0
2026-08-13 20:09:55.868112+00,11,2,9,0,0.0,0
2026-08-13 20:10:03.049673+00,11,1,10,0,0.4,0
2026-08-13 20:10:10.184218+00,11,1,10,0,0.9,0
2026-08-13 20:10:17.162442+00,11,1,10,0,1.9,0
2026-08-13 20:10:24.837285+00,11,1,10,0,0.5,0
2026-08-13 20:10:31.930302+00,11,2,9,0,2.1,0
2026-08-13 20:10:38.927047+00,11,1,10,0,1.1,0
2026-08-13 20:10:46.439945+00,11,1,9,1,0.1,0
2026-08-13 20:10:53.695928+00,11,1,10,0,0.5,0
2026-08-13 20:11:00.978638+00,11,1,10,0,0.4,0
2026-08-13 20:11:36.591371+00,11,1,10,0,0.2,0
