dropped_url_id,merged_into,raw_url_before
U000558,U000557,"/cs/ireland-doctors/dr-julieta-janik,0,21,0,4.523809523809524,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000559,U000557,"/cs/ireland-doctors/dr-julieta-janik,0,5,0,1.8,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000560,U000557,"/cs/ireland-doctors/dr-julieta-janik,1,7,0.14285714285714285,3.7142857142857144,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000561,U000557,"/cs/ireland-doctors/dr-julieta-janik,irl,0,1,0,3,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000563,U000562,"/cs/ireland-doctors/dr-mala-vili-rajan,0,2,0,4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000564,U000562,"/cs/ireland-doctors/dr-mala-vili-rajan,cze,0,1,0,7,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000566,U000565,"/cs/ireland-doctors/dr-mohammed-omar,0,1,0,5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000569,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,0,1,0,7,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000570,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,0,8,0,10.75,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000571,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,1,8,0.125,5.375,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000572,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,3,21,0.14285714285714285,9.285714285714286,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000573,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,aut,1,1,1,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000574,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,cze,0,1,0,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000575,U000568,"/cs/ireland-doctors/dr-tiago-miguel-figueira,irl,0,18,0,12.88888888888889,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000577,U000576,"/cs/ireland-doctors/dr-yousif-mohamed,0,5,0,29.6,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000578,U000576,"/cs/ireland-doctors/dr-yousif-mohamed,0,5,0,7.4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000579,U000576,"/cs/ireland-doctors/dr-yousif-mohamed,0,9,0,22.11111111111111,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000580,U000576,"/cs/ireland-doctors/dr-yousif-mohamed,hun,0,1,0,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000581,U000576,"/cs/ireland-doctors/dr-yousif-mohamed,irl,0,1,0,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000583,U000582,"/cs/portugal-doctors/dr-rui-diogo-rodrigues,0,1,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000585,U000584,"/cs/portugal-doctors/dra-ana-leal-neto,0,7,0,3.5714285714285716,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
