"source_domain","source_batch","keyword","detected_language","search_volume","keyword_difficulty","cpc_eur","competition","intent","trend","serp_features","position","ranking_url","estimated_traffic","collected_at"
"dronline.pt","pt_ranked_dronline.pt_0","atestado médico","es","3600","0","2.4600000381469727","0.5","informational","[{""year"":2026,""month"":6,""search_volume"":2400},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":2400},{""year"":2026,""month"":3,""search_volume"":12100},{""year"":2026,""month"":2,""search_volume"":1900},{""year"":2026,""month"":1,""search_volume"":2900},{""year"":2025,""month"":12,""search_volume"":1900},{""year"":2025,""month"":11,""search_volume"":1900},{""year"":2025,""month"":10,""search_volume"":2400},{""year"":2025,""month"":9,""search_volume"":2400},{""year"":2025,""month"":8,""search_volume"":1900},{""year"":2025,""month"":7,""search_volume"":4400}]","ai_overview|organic|people_also_ask|images|related_searches|knowledge_graph","2","https://dronline.pt/atestados-medicos/","1094.4000244140625","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","dr online","sl","3600","0","1.8600000143051147","0.6899999976158142","navigational","[{""year"":2026,""month"":7,""search_volume"":3600},{""year"":2026,""month"":6,""search_volume"":3600},{""year"":2026,""month"":5,""search_volume"":3600},{""year"":2026,""month"":4,""search_volume"":3600},{""year"":2026,""month"":3,""search_volume"":3600},{""year"":2026,""month"":2,""search_volume"":2900},{""year"":2026,""month"":1,""search_volume"":3600},{""year"":2025,""month"":12,""search_volume"":3600},{""year"":2025,""month"":11,""search_volume"":2900},{""year"":2025,""month"":10,""search_volume"":3600},{""year"":2025,""month"":9,""search_volume"":2900},{""year"":2025,""month"":8,""search_volume"":2900}]","organic|people_also_ask|related_searches","1","https://dronline.pt/","1094.4000244140625","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","atestados medicos","pt","2900","0","2.509999990463257","0.5","informational","[{""year"":2026,""month"":7,""search_volume"":1600},{""year"":2026,""month"":6,""search_volume"":2400},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":2400},{""year"":2026,""month"":3,""search_volume"":12100},{""year"":2026,""month"":2,""search_volume"":1900},{""year"":2026,""month"":1,""search_volume"":2900},{""year"":2025,""month"":12,""search_volume"":1900},{""year"":2025,""month"":11,""search_volume"":1900},{""year"":2025,""month"":10,""search_volume"":2400},{""year"":2025,""month"":9,""search_volume"":2400},{""year"":2025,""month"":8,""search_volume"":1900}]","ai_overview|organic|people_also_ask|images|related_searches|knowledge_graph","2","https://dronline.pt/atestados-medicos/","881.5999755859375","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","medico","it","8100","17","1.1100000143051147","0.11999999731779099","informational","[{""year"":2026,""month"":7,""search_volume"":8100},{""year"":2026,""month"":6,""search_volume"":8100},{""year"":2026,""month"":5,""search_volume"":9900},{""year"":2026,""month"":4,""search_volume"":6600},{""year"":2026,""month"":3,""search_volume"":6600},{""year"":2026,""month"":2,""search_volume"":12100},{""year"":2026,""month"":1,""search_volume"":14800},{""year"":2025,""month"":12,""search_volume"":6600},{""year"":2025,""month"":11,""search_volume"":8100},{""year"":2025,""month"":10,""search_volume"":8100},{""year"":2025,""month"":9,""search_volume"":8100},{""year"":2025,""month"":8,""search_volume"":8100}]","local_pack|people_also_ask|organic|images|related_searches","7","https://dronline.pt/","788.1300048828125","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","peixe aranha","pt","9900","0","0.05000000074505806","0.009999999776482582","informational","[{""year"":2026,""month"":6,""search_volume"":12100},{""year"":2026,""month"":5,""search_volume"":6600},{""year"":2026,""month"":4,""search_volume"":5400},{""year"":2026,""month"":3,""search_volume"":4400},{""year"":2026,""month"":2,""search_volume"":2900},{""year"":2026,""month"":1,""search_volume"":3600},{""year"":2025,""month"":12,""search_volume"":2900},{""year"":2025,""month"":11,""search_volume"":3600},{""year"":2025,""month"":10,""search_volume"":4400},{""year"":2025,""month"":9,""search_volume"":8100},{""year"":2025,""month"":8,""search_volume"":40500},{""year"":2025,""month"":7,""search_volume"":33100}]","knowledge_graph|people_also_ask|organic|short_videos|video|related_searches|images","9","https://dronline.pt/peixe-aranha-o-que-fazer-quando-sentir-uma-picada/","464.30999755859375","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","baixa medica","pt","4400","0","2.6100001335144043","0.3199999928474426","informational","[{""year"":2026,""month"":6,""search_volume"":3600},{""year"":2026,""month"":5,""search_volume"":3600},{""year"":2026,""month"":4,""search_volume"":4400},{""year"":2026,""month"":3,""search_volume"":4400},{""year"":2026,""month"":2,""search_volume"":4400},{""year"":2026,""month"":1,""search_volume"":5400},{""year"":2025,""month"":12,""search_volume"":4400},{""year"":2025,""month"":11,""search_volume"":4400},{""year"":2025,""month"":10,""search_volume"":5400},{""year"":2025,""month"":9,""search_volume"":4400},{""year"":2025,""month"":8,""search_volume"":4400},{""year"":2025,""month"":7,""search_volume"":5400}]","ai_overview|organic|people_also_ask|images|related_searches","5","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","428.1199951171875","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","doctor","en","2400","8","2.819999933242798","0.09000000357627869","informational","[{""year"":2026,""month"":6,""search_volume"":1900},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":2400},{""year"":2026,""month"":3,""search_volume"":1900},{""year"":2026,""month"":2,""search_volume"":1900},{""year"":2026,""month"":1,""search_volume"":1900},{""year"":2025,""month"":12,""search_volume"":1900},{""year"":2025,""month"":11,""search_volume"":1900},{""year"":2025,""month"":10,""search_volume"":4400},{""year"":2025,""month"":9,""search_volume"":2900},{""year"":2025,""month"":8,""search_volume"":2400},{""year"":2025,""month"":7,""search_volume"":2900}]","ai_overview|organic|people_also_ask|images|related_searches","1","https://dronline.pt/en/","388.79998779296875","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","dronline","de","880","0","2.4800000190734863","0.7099999785423279","navigational","[{""year"":2026,""month"":7,""search_volume"":880},{""year"":2026,""month"":6,""search_volume"":880},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":1000},{""year"":2026,""month"":3,""search_volume"":880},{""year"":2026,""month"":2,""search_volume"":720},{""year"":2026,""month"":1,""search_volume"":880},{""year"":2025,""month"":12,""search_volume"":880},{""year"":2025,""month"":11,""search_volume"":880},{""year"":2025,""month"":10,""search_volume"":880},{""year"":2025,""month"":9,""search_volume"":880},{""year"":2025,""month"":8,""search_volume"":880}]","organic|people_also_ask|related_searches|images","1","https://dronline.pt/","267.5199890136719","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","medicos online","en","880","15","4.239999771118164","0.7900000214576721","informational","[{""year"":2026,""month"":7,""search_volume"":880},{""year"":2026,""month"":6,""search_volume"":880},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":880},{""year"":2026,""month"":3,""search_volume"":880},{""year"":2026,""month"":2,""search_volume"":720},{""year"":2026,""month"":1,""search_volume"":1000},{""year"":2025,""month"":12,""search_volume"":1000},{""year"":2025,""month"":11,""search_volume"":720},{""year"":2025,""month"":10,""search_volume"":880},{""year"":2025,""month"":9,""search_volume"":880},{""year"":2025,""month"":8,""search_volume"":1000}]","organic|related_searches","1","https://dronline.pt/","267.5199890136719","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","sintomas gripe k","es","1600","0","","","informational","[{""year"":2026,""month"":7,""search_volume"":0},{""year"":2026,""month"":6,""search_volume"":10},{""year"":2026,""month"":5,""search_volume"":10},{""year"":2026,""month"":4,""search_volume"":30},{""year"":2026,""month"":3,""search_volume"":50},{""year"":2026,""month"":2,""search_volume"":70},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":18100},{""year"":2025,""month"":11,""search_volume"":10},{""year"":2025,""month"":10,""search_volume"":0},{""year"":2025,""month"":9,""search_volume"":0},{""year"":2025,""month"":8,""search_volume"":0}]","ai_overview|organic|people_also_ask|related_searches","4","https://dronline.pt/gripe-h3n2/","259.20001220703125","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","simulador baixa médica","es","1300","0","0.12999999523162842","0.17000000178813934","informational","[{""year"":2026,""month"":7,""search_volume"":720},{""year"":2026,""month"":6,""search_volume"":880},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":1000},{""year"":2026,""month"":3,""search_volume"":1300},{""year"":2026,""month"":2,""search_volume"":1300},{""year"":2026,""month"":1,""search_volume"":1600},{""year"":2025,""month"":12,""search_volume"":1300},{""year"":2025,""month"":11,""search_volume"":1600},{""year"":2025,""month"":10,""search_volume"":1900},{""year"":2025,""month"":9,""search_volume"":1900},{""year"":2025,""month"":8,""search_volume"":1300}]","ai_overview|organic|people_also_ask|related_searches|images","4","https://dronline.pt/simulador-baixa-medica/","210.60000610351562","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","consulta","pt","4400","48","2.8399999141693115","0.05999999865889549","informational","[{""year"":2026,""month"":6,""search_volume"":4400},{""year"":2026,""month"":5,""search_volume"":4400},{""year"":2026,""month"":4,""search_volume"":4400},{""year"":2026,""month"":3,""search_volume"":4400},{""year"":2026,""month"":2,""search_volume"":4400},{""year"":2026,""month"":1,""search_volume"":4400},{""year"":2025,""month"":12,""search_volume"":3600},{""year"":2025,""month"":11,""search_volume"":4400},{""year"":2025,""month"":10,""search_volume"":5400},{""year"":2025,""month"":9,""search_volume"":4400},{""year"":2025,""month"":8,""search_volume"":4400},{""year"":2025,""month"":7,""search_volume"":6600}]","ai_overview|organic|people_also_ask|video|related_searches|images","7","https://dronline.pt/","206.36000061035156","2026-08-31"
